Channel No.	Counts
1	0.0
2	0.0
3	25947.0
4	539851.0
5	119.0
6	62.0
7	47.0
8	49.0
9	74.0
10	75.0
11	93.0
12	73.0
13	100.0
14	85.0
15	86.0
16	110.0
17	109.0
18	104.0
19	83.0
20	102.0
21	103.0
22	96.0
23	86.0
24	90.0
25	86.0
26	113.0
27	88.0
28	112.0
29	89.0
30	78.0
31	83.0
32	81.0
33	82.0
34	97.0
35	77.0
36	90.0
37	83.0
38	83.0
39	67.0
40	74.0
41	86.0
42	98.0
43	90.0
44	88.0
45	80.0
46	70.0
47	79.0
48	62.0
49	59.0
50	83.0
51	64.0
52	79.0
53	65.0
54	78.0
55	56.0
56	86.0
57	65.0
58	76.0
59	51.0
60	63.0
61	60.0
62	65.0
63	62.0
64	55.0
65	65.0
66	57.0
67	73.0
68	58.0
69	58.0
70	62.0
71	56.0
72	65.0
73	63.0
74	54.0
75	55.0
76	43.0
77	45.0
78	50.0
79	35.0
80	67.0
81	59.0
82	46.0
83	53.0
84	52.0
85	53.0
86	55.0
87	43.0
88	45.0
89	61.0
90	42.0
91	62.0
92	44.0
93	27.0
94	47.0
95	39.0
96	55.0
97	40.0
98	36.0
99	39.0
100	46.0
101	40.0
102	46.0
103	42.0
104	38.0
105	38.0
106	33.0
107	38.0
108	38.0
109	42.0
110	41.0
111	49.0
112	44.0
113	41.0
114	42.0
115	39.0
116	48.0
117	48.0
118	42.0
119	44.0
120	30.0
121	37.0
122	41.0
123	39.0
124	46.0
125	29.0
126	26.0
127	31.0
128	37.0
129	27.0
130	36.0
131	33.0
132	27.0
133	33.0
134	45.0
135	27.0
136	32.0
137	34.0
138	30.0
139	25.0
140	30.0
141	37.0
142	30.0
143	23.0
144	30.0
145	20.0
146	24.0
147	32.0
148	36.0
149	28.0
150	20.0
151	24.0
152	20.0
153	26.0
154	23.0
155	31.0
156	27.0
157	26.0
158	31.0
159	26.0
160	26.0
161	26.0
162	26.0
163	23.0
164	18.0
165	18.0
166	30.0
167	19.0
168	21.0
169	27.0
170	23.0
171	22.0
172	18.0
173	30.0
174	22.0
175	21.0
176	17.0
177	19.0
178	26.0
179	21.0
180	20.0
181	20.0
182	21.0
183	16.0
184	22.0
185	18.0
186	17.0
187	17.0
188	17.0
189	16.0
190	21.0
191	15.0
192	11.0
193	23.0
194	14.0
195	15.0
196	16.0
197	18.0
198	15.0
199	21.0
200	19.0
201	17.0
202	13.0
203	13.0
204	16.0
205	14.0
206	12.0
207	21.0
208	16.0
209	23.0
210	12.0
211	23.0
212	25.0
213	12.0
214	15.0
215	14.0
216	23.0
217	16.0
218	14.0
219	10.0
220	8.0
221	10.0
222	6.0
223	12.0
224	16.0
225	11.0
226	15.0
227	14.0
228	16.0
229	10.0
230	18.0
231	12.0
232	15.0
233	12.0
234	10.0
235	15.0
236	9.0
237	5.0
238	17.0
239	6.0
240	14.0
241	11.0
242	12.0
243	11.0
244	10.0
245	18.0
246	11.0
