# Delays, Delay errors, Counts
1.976631734776838067e-01,3.519789939252962571e-04,0.000000000000000000e+00
2.184555464945621694e-01,3.519790599944294944e-04,0.000000000000000000e+00
2.392479195114405321e-01,3.519791701096240720e-04,5.800000000000000000e+01
2.600402925283188393e-01,3.519793242708385192e-04,8.293380000000000000e+05
2.808326655451972020e-01,3.519795224780150481e-04,5.600000000000000000e+01
3.016250385620755647e-01,3.519797647310792281e-04,2.000000000000000000e+01
3.224174115789538719e-01,3.519800510299400946e-04,2.000000000000000000e+01
3.432097845958322901e-01,3.519803813744902033e-04,2.000000000000000000e+01
3.640021576127105973e-01,3.519807557646055757e-04,2.700000000000000000e+01
3.847945306295889600e-01,3.519811742001455364e-04,3.000000000000000000e+01
4.055869036464673227e-01,3.519816366809531472e-04,3.500000000000000000e+01
4.263792766633456299e-01,3.519821432068546648e-04,5.400000000000000000e+01
4.471716496802240481e-01,3.519826937776600285e-04,3.600000000000000000e+01
4.679640226971023553e-01,3.519832883931624809e-04,4.800000000000000000e+01
4.887563957139806625e-01,3.519839270531388933e-04,9.800000000000000000e+01
5.095487687308590807e-01,3.519846097573494943e-04,9.800000000000000000e+01
5.303411417477373879e-01,3.519853365055379242e-04,1.110000000000000000e+02
5.511335147646158061e-01,3.519861072974313980e-04,1.030000000000000000e+02
5.719258877814941133e-01,3.519869221327405961e-04,1.100000000000000000e+02
5.927182607983724205e-01,3.519877810111596652e-04,1.080000000000000000e+02
6.135106338152508387e-01,3.519886839323661636e-04,1.080000000000000000e+02
6.343030068321291459e-01,3.519896308960211695e-04,8.000000000000000000e+01
6.550953798490074531e-01,3.519906219017692275e-04,1.150000000000000000e+02
6.758877528658858713e-01,3.519916569492383476e-04,8.700000000000000000e+01
6.966801258827641785e-01,3.519927360380399519e-04,1.000000000000000000e+02
7.174724988996425967e-01,3.519938591677690366e-04,8.100000000000000000e+01
7.382648719165209039e-01,3.519950263380040639e-04,8.600000000000000000e+01
7.590572449333992111e-01,3.519962375483069077e-04,1.110000000000000000e+02
7.798496179502776293e-01,3.519974927982229621e-04,9.700000000000000000e+01
8.006419909671559365e-01,3.519987920872810327e-04,1.010000000000000000e+02
8.214343639840343547e-01,3.520001354149934997e-04,8.100000000000000000e+01
8.422267370009126619e-01,3.520015227808561548e-04,1.050000000000000000e+02
8.630191100177909691e-01,3.520029541843483641e-04,8.600000000000000000e+01
8.838114830346693873e-01,3.520044296249327429e-04,8.300000000000000000e+01
9.046038560515476945e-01,3.520059491020556975e-04,9.000000000000000000e+01
9.253962290684261127e-01,3.520075126151468834e-04,8.600000000000000000e+01
9.461886020853044199e-01,3.520091201636195303e-04,7.800000000000000000e+01
9.669809751021827271e-01,3.520107717468703339e-04,9.700000000000000000e+01
9.877733481190611453e-01,3.520124673642795101e-04,7.900000000000000000e+01
1.008565721135939341e+00,3.520142070152106864e-04,8.300000000000000000e+01
1.029358094152817760e+00,3.520159906990111189e-04,7.600000000000000000e+01
1.050150467169696178e+00,3.520178184150113670e-04,8.200000000000000000e+01
1.070942840186574374e+00,3.520196901625256185e-04,9.800000000000000000e+01
1.091735213203452792e+00,3.520216059408514731e-04,7.600000000000000000e+01
1.112527586220331210e+00,3.520235657492701048e-04,7.700000000000000000e+01
1.133319959237209407e+00,3.520255695870461534e-04,7.700000000000000000e+01
1.154112332254087825e+00,3.520276174534276163e-04,8.800000000000000000e+01
1.174904705270966243e+00,3.520297093476462279e-04,7.700000000000000000e+01
1.195697078287844661e+00,3.520318452689170799e-04,8.700000000000000000e+01
1.216489451304722857e+00,3.520340252164387844e-04,8.300000000000000000e+01
1.237281824321601276e+00,3.520362491893934192e-04,5.000000000000000000e+01
1.258074197338479694e+00,3.520385171869466908e-04,7.700000000000000000e+01
1.278866570355357890e+00,3.520408292082476088e-04,6.000000000000000000e+01
1.299658943372236308e+00,3.520431852524288658e-04,6.600000000000000000e+01
1.320451316389114726e+00,3.520455853186065659e-04,7.900000000000000000e+01
1.341243689405992923e+00,3.520480294058804418e-04,7.900000000000000000e+01
1.362036062422871341e+00,3.520505175133335296e-04,5.800000000000000000e+01
1.382828435439749759e+00,3.520530496400326023e-04,7.600000000000000000e+01
1.403620808456628177e+00,3.520556257850278445e-04,6.900000000000000000e+01
1.424413181473506373e+00,3.520582459473529068e-04,7.600000000000000000e+01
1.445205554490384792e+00,3.520609101260250141e-04,7.000000000000000000e+01
1.465997927507263210e+00,3.520636183200449116e-04,8.400000000000000000e+01
1.486790300524141406e+00,3.520663705283969729e-04,7.100000000000000000e+01
1.507582673541019824e+00,3.520691667500488206e-04,6.800000000000000000e+01
1.528375046557898242e+00,3.520720069839518686e-04,6.900000000000000000e+01
1.549167419574776439e+00,3.520748912290408883e-04,6.600000000000000000e+01
1.569959792591654857e+00,3.520778194842343338e-04,5.700000000000000000e+01
1.590752165608533275e+00,3.520807917484340709e-04,7.900000000000000000e+01
1.611544538625411471e+00,3.520838080205254857e-04,5.900000000000000000e+01
1.632336911642289889e+00,3.520868682993776467e-04,4.700000000000000000e+01
1.653129284659168308e+00,3.520899725838430344e-04,7.300000000000000000e+01
1.673921657676046726e+00,3.520931208727576494e-04,6.900000000000000000e+01
1.694714030692924922e+00,3.520963131649411750e-04,5.900000000000000000e+01
1.715506403709803340e+00,3.520995494591967604e-04,6.300000000000000000e+01
1.736298776726681758e+00,3.521028297543109665e-04,5.500000000000000000e+01
1.757091149743559955e+00,3.521061540490540913e-04,5.500000000000000000e+01
1.777883522760438373e+00,3.521095223421799526e-04,5.500000000000000000e+01
1.798675895777316791e+00,3.521129346324258346e-04,4.200000000000000000e+01
1.819468268794194987e+00,3.521163909185127039e-04,6.200000000000000000e+01
1.840260641811073405e+00,3.521198911991449930e-04,5.000000000000000000e+01
1.861053014827951824e+00,3.521234354730107090e-04,5.800000000000000000e+01
1.881845387844830020e+00,3.521270237387814331e-04,5.100000000000000000e+01
1.902637760861708438e+00,3.521306559951123210e-04,5.700000000000000000e+01
1.923430133878586856e+00,3.521343322406420484e-04,5.400000000000000000e+01
1.944222506895465052e+00,3.521380524739929738e-04,5.500000000000000000e+01
1.965014879912343471e+00,3.521418166937709216e-04,5.700000000000000000e+01
1.985807252929221889e+00,3.521456248985652907e-04,5.400000000000000000e+01
2.006599625946099863e+00,3.521494770869492167e-04,6.800000000000000000e+01
2.027391998962978281e+00,3.521533732574791387e-04,4.800000000000000000e+01
2.048184371979856699e+00,3.521573134086952868e-04,4.600000000000000000e+01
2.068976744996735118e+00,3.521612975391214657e-04,4.800000000000000000e+01
2.089769118013613536e+00,3.521653256472650540e-04,5.200000000000000000e+01
2.110561491030491954e+00,3.521693977316170052e-04,5.000000000000000000e+01
2.131353864047370372e+00,3.521735137906517924e-04,6.000000000000000000e+01
2.152146237064248346e+00,3.521776738228275718e-04,4.300000000000000000e+01
2.172938610081126765e+00,3.521818778265861281e-04,4.400000000000000000e+01
2.193730983098005183e+00,3.521861258003528201e-04,4.900000000000000000e+01
2.214523356114883601e+00,3.521904177425365270e-04,3.900000000000000000e+01
2.235315729131762019e+00,3.521947536515299191e-04,4.200000000000000000e+01
2.256108102148639993e+00,3.521991335257091326e-04,5.100000000000000000e+01
2.276900475165518412e+00,3.522035573634339323e-04,4.300000000000000000e+01
2.297692848182396830e+00,3.522080251630477655e-04,3.900000000000000000e+01
2.318485221199275248e+00,3.522125369228776542e-04,5.100000000000000000e+01
2.339277594216153666e+00,3.522170926412343029e-04,5.200000000000000000e+01
2.360069967233032084e+00,3.522216923164118822e-04,5.100000000000000000e+01
2.380862340249910059e+00,3.522263359466884622e-04,4.800000000000000000e+01
2.401654713266788477e+00,3.522310235303255247e-04,3.300000000000000000e+01
2.422447086283666895e+00,3.522357550655682342e-04,3.300000000000000000e+01
2.443239459300545313e+00,3.522405305506454923e-04,4.700000000000000000e+01
2.464031832317423731e+00,3.522453499837697750e-04,4.400000000000000000e+01
2.484824205334302150e+00,3.522502133631371865e-04,3.900000000000000000e+01
2.505616578351180124e+00,3.522551206869275141e-04,4.700000000000000000e+01
2.526408951368058542e+00,3.522600719533041194e-04,3.900000000000000000e+01
2.547201324384936960e+00,3.522650671604142633e-04,4.300000000000000000e+01
2.567993697401815378e+00,3.522701063063885104e-04,4.200000000000000000e+01
2.588786070418693797e+00,3.522751893893413789e-04,3.700000000000000000e+01
2.609578443435572215e+00,3.522803164073710154e-04,2.700000000000000000e+01
2.630370816452450633e+00,3.522854873585590870e-04,4.000000000000000000e+01
2.651163189469328607e+00,3.522907022409710515e-04,4.500000000000000000e+01
2.671955562486207025e+00,3.522959610526560500e-04,4.500000000000000000e+01
2.692747935503085444e+00,3.523012637916468517e-04,3.900000000000000000e+01
2.713540308519963862e+00,3.523066104559599630e-04,3.200000000000000000e+01
2.734332681536842280e+00,3.523120010435955188e-04,1.800000000000000000e+01
2.755125054553720698e+00,3.523174355525374450e-04,3.800000000000000000e+01
2.775917427570598672e+00,3.523229139807532964e-04,3.300000000000000000e+01
2.796709800587477091e+00,3.523284363261943645e-04,2.900000000000000000e+01
2.817502173604355509e+00,3.523340025867955695e-04,4.400000000000000000e+01
2.838294546621233927e+00,3.523396127604756225e-04,2.700000000000000000e+01
2.859086919638112345e+00,3.523452668451369178e-04,3.100000000000000000e+01
2.879879292654990763e+00,3.523509648386655862e-04,3.600000000000000000e+01
2.900671665671869182e+00,3.523567067389314416e-04,3.100000000000000000e+01
2.921464038688747156e+00,3.523624925437880890e-04,3.300000000000000000e+01
2.942256411705625574e+00,3.523683222510727618e-04,2.700000000000000000e+01
2.963048784722503992e+00,3.523741958586065390e-04,3.900000000000000000e+01
2.983841157739382410e+00,3.523801133641940738e-04,3.400000000000000000e+01
3.004633530756260829e+00,3.523860747656240274e-04,3.400000000000000000e+01
3.025425903773139247e+00,3.523920800606685812e-04,3.900000000000000000e+01
3.046218276790017221e+00,3.523981292470836535e-04,3.200000000000000000e+01
3.067010649806895639e+00,3.524042223226091165e-04,3.100000000000000000e+01
3.087803022823774057e+00,3.524103592849683626e-04,3.200000000000000000e+01
3.108595395840652476e+00,3.524165401318687376e-04,3.700000000000000000e+01
3.129387768857530894e+00,3.524227648610013248e-04,3.300000000000000000e+01
