Angle,Three detectors (counts),Two detectors (counts)
0,48,65
0,63,61
0,45,55
0,58,58
0,46,74
0,48,59
0,59,62
0,42,70
0,69,56
0,63,53
11,55,41
11,61,55
11,50,58
11,48,62
11,60,51
11,61,58
11,71,46
11,49,60
11,48,55
11,50,49
18,47,60
18,52,46
18,50,47
18,44,42
18,34,44
18,54,49
18,51,58
18,65,44
18,52,49
18,54,55
30,38,38
30,39,50
30,41,39
30,42,37
30,53,48
30,40,38
30,33,43
30,41,49
30,50,33
30,39,50
41,40,33
41,36,31
41,18,34
41,24,30
41,24,25
41,45,37
41,39,32
41,27,34
41,27,39
41,35,30
50,18,31
50,24,25
50,33,19
50,26,29
50,25,21
50,22,26
50,28,19
50,24,28
50,24,25
50,20,22
61,13,20
61,12,13
61,19,12
61,16,11
61,19,19
61,14,8
61,19,18
61,16,15
61,21,16
61,15,19
70,12,12
70,7,10
70,11,12
70,8,8
70,6,9
70,8,15
70,7,13
70,6,18
70,9,10
70,8,13
80,6,5
80,4,9
80,5,5
80,7,8
80,9,6
80,3,6
80,5,9
80,6,7
80,3,5
80,6,4
89,3,3
89,3,12
89,4,5
89,7,3
89,6,4
89,2,3
89,4,9
89,3,5
89,2,6
89,6,6
7,56,51
7,65,44
7,60,58
7,49,45
7,61,58
7,67,52
7,51,52
7,52,43
7,52,72
7,70,67
15,54,63
15,56,45
15,40,42
15,53,52
15,49,53
15,45,52
15,46,59
15,50,69
15,46,55
15,68,53
25,50,46
25,47,50
25,39,62
25,49,39
25,47,48
25,36,57
25,49,45
25,42,53
25,55,46
25,62,52
36,39,38
36,33,33
36,46,32
36,37,43
36,46,48
36,35,46
36,38,33
36,34,45
36,50,42
36,53,30
47,22,20
47,33,41
47,26,19
47,26,25
47,33,30
47,27,30
47,29,26
47,28,20
47,28,25
47,32,15
55,17,17
55,20,16
55,16,22
55,23,15
55,17,17
55,12,21
55,22,18
55,18,21
55,19,19
55,22,21
66,10,12
66,14,17
66,11,6
66,17,10
66,11,13
66,7,10
66,13,10
66,11,13
66,16,19
66,13,7
76,9,7
76,12,8
76,8,11
76,7,8
76,3,5
76,4,3
76,8,6
76,8,4
76,6,7
76,14,8
85,7,6
85,5,4
85,4,3
85,8,3
85,3,7
85,6,4
85,4,7
85,5,5
85,7,4
85,9,3
